suite,dimension,budget,comparison_scope,function,function_class,competitor,reference,n_competitor,n_reference,u_competitor,probability_nea2plus_lower,mean_rank_nea2plus,mean_rank_msc,median_nea2plus,median_msc,p_raw,test_family_size,correction,p_holm,alpha,mwu_symbol
cec2017,10,100000,all,20,hybrid,NEA2PLUS-PY,MSC-CMA,51,51,2520,0.03114186851211076,75.411764705882348,27.588235294117649,25.493959347547616,17.22869822255393,3.3946282067533207e-16,29,holm-bonferroni,8.1471076962079697e-15,0.05,<
cec2017,10,100000,all,21,composition,NEA2PLUS-PY,MSC-CMA,51,51,2140,0.17723952326028447,67.960784313725497,35.03921568627451,100.00000002719617,100.0000000000191,1.9612182661488804e-08,29,holm-bonferroni,2.1573400927637684e-07,0.05,<
cec2017,10,100000,all,22,composition,NEA2PLUS-PY,MSC-CMA,51,51,2294,0.11803152633602465,70.980392156862735,32.019607843137251,26.286745133961176,11.396522268506942,3.0026485457769666e-11,29,holm-bonferroni,4.8042376732431466e-10,0.05,<
cec2017,10,100000,all,23,composition,NEA2PLUS-PY,MSC-CMA,51,51,1825,0.29834678969627071,61.784313725490193,41.215686274509807,306.26742073077503,305.3196661022962,0.00045320862912503286,29,holm-bonferroni,0.0031724604038752299,0.05,<
cec2017,10,100000,all,24,composition,NEA2PLUS-PY,MSC-CMA,51,51,2490,0.042675893886966576,74.823529411764696,28.176470588235293,100.00000002381466,100.00000000001637,1.7520788866825049e-15,29,holm-bonferroni,3.8545735507015105e-14,0.05,<
cec2017,10,100000,all,25,composition,NEA2PLUS-PY,MSC-CMA,51,51,2208,0.15109573241061125,69.294117647058826,33.705882352941174,397.74286947048677,100.00738903956926,1.276830072029707e-09,29,holm-bonferroni,1.5321960864356482e-08,0.05,<
cec2017,10,100000,all,26,composition,NEA2PLUS-PY,MSC-CMA,51,51,2335,0.10226835832372161,71.784313725490193,31.215686274509803,200.00000006151822,200.00000000014143,4.5081740780261846e-12,29,holm-bonferroni,8.1091112459230769e-11,0.05,<
cec2017,10,100000,all,27,composition,NEA2PLUS-PY,MSC-CMA,51,51,1414,0.45636293733179545,53.725490196078432,49.274509803921568,389.51799024352022,389.70567982845569,0.44936454095579426,29,holm-bonferroni,1,0.05,=
cec2017,10,100000,all,28,composition,NEA2PLUS-PY,MSC-CMA,51,51,2505,0.036908881199538612,75.117647058823536,27.882352941176471,300.00000001970693,300.00000000000682,7.7525917430975662e-16,29,holm-bonferroni,1.7830961009124403e-14,0.05,<
cec2017,10,100000,all,29,composition,NEA2PLUS-PY,MSC-CMA,51,51,2398,0.07804690503652445,73.019607843137265,29.980392156862745,252.70990291318958,232.24487492695289,2.1058279007186481e-13,29,holm-bonferroni,4.211655801437296e-12,0.05,<
cec2017,10,100000,all,30,composition,NEA2PLUS-PY,MSC-CMA,51,51,1225,0.52902729719338715,50.019607843137251,52.980392156862749,406.62463717391574,413.34032146369509,0.61570054678726061,29,holm-bonferroni,1,0.05,=
cec2017,10,100000,composition,21,composition,NEA2PLUS-PY,MSC-CMA,51,51,2140,0.17723952326028447,67.960784313725497,35.03921568627451,100.00000002719617,100.0000000000191,1.9612182661488804e-08,10,holm-bonferroni,7.8448730645955217e-08,0.05,<
cec2017,10,100000,composition,22,composition,NEA2PLUS-PY,MSC-CMA,51,51,2294,0.11803152633602465,70.980392156862735,32.019607843137251,26.286745133961176,11.396522268506942,3.0026485457769666e-11,10,holm-bonferroni,1.80158912746618e-10,0.05,<
cec2017,10,100000,composition,23,composition,NEA2PLUS-PY,MSC-CMA,51,51,1825,0.29834678969627071,61.784313725490193,41.215686274509807,306.26742073077503,305.3196661022962,0.00045320862912503286,10,holm-bonferroni,0.0013596258873750985,0.05,<
cec2017,10,100000,composition,24,composition,NEA2PLUS-PY,MSC-CMA,51,51,2490,0.042675893886966576,74.823529411764696,28.176470588235293,100.00000002381466,100.00000000001637,1.7520788866825049e-15,10,holm-bonferroni,1.5768709980142545e-14,0.05,<
cec2017,10,100000,composition,25,composition,NEA2PLUS-PY,MSC-CMA,51,51,2208,0.15109573241061125,69.294117647058826,33.705882352941174,397.74286947048677,100.00738903956926,1.276830072029707e-09,10,holm-bonferroni,6.3841503601485352e-09,0.05,<
cec2017,10,100000,composition,26,composition,NEA2PLUS-PY,MSC-CMA,51,51,2335,0.10226835832372161,71.784313725490193,31.215686274509803,200.00000006151822,200.00000000014143,4.5081740780261846e-12,10,holm-bonferroni,3.1557218546183289e-11,0.05,<
cec2017,10,100000,composition,27,composition,NEA2PLUS-PY,MSC-CMA,51,51,1414,0.45636293733179545,53.725490196078432,49.274509803921568,389.51799024352022,389.70567982845569,0.44936454095579426,10,holm-bonferroni,0.89872908191158851,0.05,=
cec2017,10,100000,composition,28,composition,NEA2PLUS-PY,MSC-CMA,51,51,2505,0.036908881199538612,75.117647058823536,27.882352941176471,300.00000001970693,300.00000000000682,7.7525917430975662e-16,10,holm-bonferroni,7.7525917430975654e-15,0.05,<
cec2017,10,100000,composition,29,composition,NEA2PLUS-PY,MSC-CMA,51,51,2398,0.07804690503652445,73.019607843137265,29.980392156862745,252.70990291318958,232.24487492695289,2.1058279007186481e-13,10,holm-bonferroni,1.6846623205749185e-12,0.05,<
cec2017,10,100000,composition,30,composition,NEA2PLUS-PY,MSC-CMA,51,51,1225,0.52902729719338715,50.019607843137251,52.980392156862749,406.62463717391574,413.34032146369509,0.61570054678726061,10,holm-bonferroni,0.89872908191158851,0.05,=
cec2020,5,50000,all,1,basic,NEA2PLUS-PY,MSC-CMA,51,51,1527,0.41291810841983856,55.941176470588232,47.058823529411768,0,0,0.13007821500459915,10,holm-bonferroni,0.52031286001839661,0.05,=
cec2020,5,50000,all,2,basic,NEA2PLUS-PY,MSC-CMA,51,51,1498,0.42406766628219916,55.372549019607845,47.627450980392155,6.9542792051015567,0.49959593893299825,0.18716521880278003,10,holm-bonferroni,0.56149565640834009,0.05,=
