suite,dimension,budget,comparison_scope,function,function_class,competitor,reference,n_competitor,n_reference,u_competitor,probability_competitor_lower,mean_rank_competitor,mean_rank_msc,median_competitor,median_msc,p_raw,test_family_size,correction,p_holm,alpha,mwu_symbol
cec2014,10,100000,composition,24,composition,CMAES-NBC,MSC-CMA,51,51,1805,0.30603613994617451,61.392156862745097,41.607843137254903,107.87509727621401,106.59501597065992,0.00073489499449564419,8,holm-bonferroni,0.00073489499449564419,0.05,<
cec2014,10,100000,composition,25,composition,CMAES-NBC,MSC-CMA,51,51,2267,0.12841214917339483,70.450980392156865,32.549019607843135,196.425748934415,116.43221169254275,1.0047545402532682e-10,8,holm-bonferroni,4.0190181610130728e-10,0.05,<
cec2014,10,100000,composition,26,composition,CMAES-NBC,MSC-CMA,51,51,51,0.98039215686274506,27,76,100.0273884819,100.19251325086498,6.3149548680310421e-17,8,holm-bonferroni,3.788972920818625e-16,0.05,>
cec2014,10,100000,composition,27,composition,CMAES-NBC,MSC-CMA,51,51,2527,0.028450595924644384,75.549019607843135,27.450980392156861,200,2.3682339283668625,5.693089994288196e-18,8,holm-bonferroni,3.9851629960017373e-17,0.05,<
cec2014,10,100000,composition,28,composition,CMAES-NBC,MSC-CMA,51,51,612,0.76470588235294112,38,65,200,372.12153116836953,8.548727727699867e-07,8,holm-bonferroni,2.4149921969355219e-06,0.05,>
cec2014,10,100000,composition,29,composition,CMAES-NBC,MSC-CMA,51,51,255,0.90196078431372551,31,72,200,224.30014824747741,7.6260059657795557e-14,8,holm-bonferroni,3.8130029828897778e-13,0.05,>
cec2014,10,100000,composition,30,composition,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,200,472.57521579918148,1.3905886961424435e-20,8,holm-bonferroni,1.1124709569139548e-19,0.05,>
cec2014,30,300000,all,1,basic,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,0,2.758016053410401,1.3905886961424435e-20,30,holm-bonferroni,3.7636894147611422e-19,0.05,>
cec2014,30,300000,all,2,basic,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,0,0,1.3905886961424435e-20,30,holm-bonferroni,3.7636894147611422e-19,0.05,>
cec2014,30,300000,all,3,basic,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,0,1.7843598811850825e-05,1.3905886961424435e-20,30,holm-bonferroni,3.7636894147611422e-19,0.05,>
cec2014,30,300000,all,4,basic,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,0,0.0029367258013621722,1.3441747909861222e-20,30,holm-bonferroni,3.7636894147611422e-19,0.05,>
cec2014,30,300000,all,5,basic,CMAES-NBC,MSC-CMA,51,51,1543,0.40676662821991538,56.254901960784309,46.745098039215691,20.918451075332001,20.888511781485363,0.10531066858334939,30,holm-bonferroni,0.10531066858334939,0.05,=
cec2014,30,300000,all,6,basic,CMAES-NBC,MSC-CMA,51,51,32,0.98769703960015376,26.627450980392158,76.372549019607845,0,4.1900463167622775,1.6943572501202496e-18,30,holm-bonferroni,3.0498430502164492e-17,0.05,>
