suite,dimension,budget,function,function_class,reference,opponent,n_reference,n_opponent,u_reference,probability_conly_lower,median_conly,median_opponent,p_raw,bonferroni_family_size,p_bonferroni,alpha,decision
cec2017,10,100000,22,composition,MSC-CMA-Conly,j2020,51,51,100,0.96155324875048054,11.563057352644591,55.578258960737912,9.5437102801532356e-16,10,9.5437102801532352e-15,0.05,conly better
cec2017,10,100000,23,composition,MSC-CMA-Conly,j2020,51,51,291,0.88811995386389853,100.00000000047567,307.72836759174606,1.4485809038836701e-11,10,1.4485809038836701e-10,0.05,conly better
cec2017,10,100000,24,composition,MSC-CMA-Conly,j2020,51,51,809,0.68896578239138795,2.4874680093489587e-10,100.00000000000227,0.0010044641294781416,10,0.010044641294781416,0.05,conly better
cec2017,10,100000,25,composition,MSC-CMA-Conly,j2020,51,51,0,1,100.00717004513126,397.742869469992,3.2993871909575041e-18,10,3.299387190957504e-17,0.05,conly better
cec2017,10,100000,26,composition,MSC-CMA-Conly,j2020,51,51,744,0.71395617070357553,2.5283952709287405e-10,200.00000000102636,0.00019449799539358509,10,0.001944979953935851,0.05,conly better
cec2017,10,100000,27,composition,MSC-CMA-Conly,j2020,51,51,2160,0.16955017301038067,393.34013413110461,389.51799024017919,8.9160375295435767e-09,10,8.9160375295435771e-08,0.05,opponent better
cec2017,10,100000,28,composition,MSC-CMA-Conly,j2020,51,51,709,0.72741253364090741,4.0881786844693124e-10,300.00000000000091,7.2892025227762336e-05,10,0.00072892025227762336,0.05,conly better
cec2017,10,100000,29,composition,MSC-CMA-Conly,j2020,51,51,1469,0.43521722414455977,248.56262064021803,245.59989877103726,0.26085404388671163,10,1,0.05,not significant
cec2017,10,100000,30,composition,MSC-CMA-Conly,j2020,51,51,30,0.98846597462514418,411.97150345065756,636.62650847491659,1.9001855510256677e-17,10,1.9001855510256678e-16,0.05,conly better
cec2017,10,100000,21,composition,MSC-CMA-Conly,jSO,51,51,1820,0.30026912725874666,100.00000000000136,100.00000000000045,0.00031118131585170243,10,0.0031118131585170243,0.05,opponent better
cec2017,10,100000,22,composition,MSC-CMA-Conly,jSO,51,51,0,1,11.563057352644591,100.00000000000045,5.531741773814768e-19,10,5.5317417738147682e-18,0.05,conly better
cec2017,10,100000,23,composition,MSC-CMA-Conly,jSO,51,51,959,0.63129565551710876,100.00000000047567,300.00000000000045,0.021981525996829565,10,0.21981525996829565,0.05,not significant
